id,question,answer,sources,latency_ms,overall_score,relevance,correctness,clarity
1,What is Retrieval-Augmented Generation?,"Retrieval-Augmented Generation (RAG) is an AI architecture that combines information retrieval with large language models. Instead of relying solely on knowledge stored within a model's parameters, it retrieves relevant information from an external knowledge base and uses it as context when generating responses. This approach enables AI applications to work with dynamic and private knowledge bases while minimizing hallucinations, improving accuracy, and providing grounded, explainable responses.","01_rag.md, 06_prompt_engineering.md, 07_large_language_models.md",1212.29,10.0,10.0,10.0,10.0
2,Why is RAG preferred over standalone LLMs for factual question answering?,"RAG is preferred over standalone LLMs because it improves factual accuracy, reduces hallucinations, and enables language models to answer questions using up-to-date or domain-specific information. Unlike standalone LLMs, which are limited by their training cutoff dates and cannot easily access private organizational data, RAG retrieves relevant information from an external knowledge base to ground the model's responses.","01_rag.md, 07_large_language_models.md, 05_chunking.md",1219.22,10.0,10.0,10.0,10.0
3,What is an embedding?,"An embedding is a numerical vector representation of text, images, or other forms of data that converts text into a list of floating-point numbers. They capture semantic meaning, allowing items with similar meanings to be located close together in vector space.","02_embeddings.md, 03_vector_databases.md, 04_chromadb.md",860.22,10.0,10.0,10.0,10.0
4,How does semantic search differ from keyword search?,"Traditional keyword search looks for exact words, whereas semantic search retrieves information based on meaning by comparing the mathematical similarity between vectors. While keyword search performs searches for exact values, semantic search identifies information that is conceptually similar.","03_vector_databases.md, 02_embeddings.md",1144.38,10.0,10.0,10.0,10.0
5,Why are vector databases used in RAG?,"Vector databases are used in RAG systems because they enable the efficient retrieval of relevant document chunks based on semantic meaning rather than exact keyword matches. By storing, indexing, and searching high-dimensional vector embeddings, they allow systems to find information that is conceptually similar to a query, which improves overall RAG performance.","03_vector_databases.md, 01_rag.md",1233.03,10.0,10.0,10.0,10.0
6,What similarity metrics are commonly used for vector search?,"The common similarity metrics used for vector search are Cosine Similarity, Euclidean Distance, and Dot Product.","03_vector_databases.md, 02_embeddings.md",761.62,10.0,10.0,10.0,10.0
7,What is ChromaDB?,"ChromaDB is an open-source vector database designed for AI applications. It provides persistent storage, semantic similarity search, and metadata management for embedding vectors. Due to its lightweight design and simple Python API, it is widely used in Retrieval-Augmented Generation (RAG) applications, document search systems, and AI assistants.","06_prompt_engineering.md, 04_chromadb.md",1220.37,10.0,10.0,10.0,10.0
8,What information is stored as metadata in ChromaDB?,"Metadata allows additional information to be stored with each document chunk. Examples include:
* Source filename
* Chunk index
* Page number
* Category
* Timestamp",04_chromadb.md,1034.03,10.0,10.0,10.0,10.0
9,Why is document chunking necessary?,"Document chunking is necessary because large documents often contain multiple topics, and embedding an entire document into a single vector can dilute its semantic meaning, which makes retrieval less precise. Additionally, language models have limited context windows, and smaller chunks allow the retriever to return only the information relevant to a user's query, improving retrieval quality.",05_chunking.md,1248.38,10.0,10.0,10.0,10.0
10,What is chunk overlap?,Chunk overlap is the process of duplicating a small portion of text between consecutive chunks.,05_chunking.md,794.27,10.0,10.0,10.0,10.0
